zhei	9434	这	17648808
cei	234	𤭢	1000
an	26	揞	1
ao	26	鿫	1
ba	22	㞎	1
biang	24264	𰻝	1
cong	2664	蟌	1
dan	326	鿕	1
dang	3264	氹	1
dui	384	㨃	1
ei	34	诶	1
en	36	奀	1
eng	364	鞥	1
fa	32	𠲎	1
fiao	3426	覅	1
fu	38	鳆	1
ge	43	鿔	1
huan	4826	睆	1
ji	54	檵	1
juan	5826	朘	1
juan	5826	罥	1
ka	52	佧	1
ku	58	堀	1
la	52	菈	1
li	54	𫟷	1
mei	634	脢	1
meng	6364	濛	1
mi	64	蒾	1
mo	66	麿	1
mu	68	霂	1
ni	64	鿭	1
niang	64264	嬢	1
nie	643	㖏	1
ou	68	𫪘	1
pa	72	𤆵	1
pei	734	珮	1
pin	746	榀	1
qin	746	螓	1
qing	7464	䞍	1
que	783	卻	1
rua	782	挼	1
ruan	7826	朊	1
ruo	786	挼	1
shi	744	辻	1
si	74	亖	1
ta	82	牠	1
ti	84	薙	1
tian	8426	畑	1
tian	8426	鿬	1
tong	8664	樋	1
tu	88	凃	1
tun	886	氽	1
wen	936	揾	1
xi	94	矽	1
xia	942	雫	1
xiao	9426	咲	1
yi	94	蓺	1
yu	98	𫚪	1
zhi	944	膣	1
zhuai	94824	跩	1
zong	9664	𭎂	1
eng	364	嗯	9179528
ei	34	欸	534
yo	96	哟	59051
yo	96	唷	1
yo	96	育	0
a	2	啊	5366043
a	2	阿	867275
a	2	吖	160000
a	2	锕	144
a	2	腌	1
ai	24	爱	1516399
ai	24	艾	212019
ai	24	哎	166400
ai	24	唉	139034
ai	24	哀	125269
ai	24	挨	83876
ai	24	埃	83548
ai	24	矮	81728
ai	24	碍	79505
ai	24	暧	21715
ai	24	癌	15319
ai	24	蔼	14033
ai	24	隘	8588
ai	24	皑	6424
ai	24	霭	6123
ai	24	嗳	3273
ai	24	嫒	1829
ai	24	毐	1013
ai	24	欸	534
ai	24	叆	376
ai	24	瑷	232
ai	24	砹	53
ai	24	锿	39
ai	24	嗌	1
an	26	按	3826950
an	26	安	980103
an	26	暗	891081
an	26	案	361285
an	26	岸	129872
an	26	俺	64855
an	26	黯	42786
an	26	庵	13087
